Numar,Intrebare,Raspuns,Domeniu
1,Cati ani a trait Adam?,930,Religie
2,In ce an a intrat Romania in NATO?,2004,Istorie
3,Ce paralela trece prin Romania?,45,Geografie
4,Care este numarul atomic al Carbonului?,6,Chimie
5,Cate trofee UEFA Champions League a castigat Real Madrid?,15,Sport
6,Cati actori au jucat pana acum oficial rolul James Bond?,6,Filme
7,"Câte vertebre are, în medie, coloana vertebrală a unui om adult?",33,Biologie
8,Cu cati oameni a batut Ghedeon Madianul?,300,Religie
9,Cati sateliti are Marte?,2,Geografie
10,In ce an a fost deschisa Biserica Speranta (Exodus pe atunci)?,1993,Cultura Sperantei
11,In ce zi a lunii Decembrie a fost executat Nicolae Ceausescu?,25,Istorie
12,Cate volume sunt in seria Ciresarii?,7,Literatura
13,Cate kilograme reprezinta o tona?,1000,Fizica
14,"Intr-un triunghi dreptunghic, cate grade are unghiul opus ipotenuzei?",90,Matematica
15,În ce an a avut loc căderea Constantinopolului?,1453,Istorie
16,In ce an a fost realizata ultima renovare a salii principale a Bisericii Speranta?,2020,Cultura Sperantei
17,Câte grade fac suma unghiurilor unui triunghi?,180,Matematica
18,Câte oase are scheletul uman adult?,206,Biologie
19,Cate Oscaruri a castigat filmul Titanic?,11,Filme
20,Care este numarul de straturi electronice posibile pentru un atom din tabelul periodic?,7,Chimie
21,"Cati prieteni speciali (Gerila, Flamanzila etc.) a avut Harap Alb?",5,Literatura
22,In ce an a avut loc revolutia Franceza?,1789,Istorie
23,"În rugby, câte puncte valorează un „try”?",5,Sport
24,Câte teze a afișat Martin Luther?,95,Istorie
25,În ce secol a fost inventat tiparul lui Gutenberg?,15,Istorie
26,Câți regi ai Israelului au fost înainte de împărțirea regatului?,3,Biblie
27,Câți ani a rătăcit Israel în pustie?,40,Biblie
28,Câte ispite i-a pus Diavolul lui Isus în pustie?,3,Biblie
29,Câte pâini a folosit Isus la prima înmulțire a pâinilor?,5,Biblie
30,În ce an a descoperit Columb America?,1492,Istorie
31,În ce an a început Primul Război Mondial?,1914,Istorie
32,Câți ani a domnit Solomon peste Israel?,40,Biblie
33,În ce an a fost distrus al Doilea Templu din Ierusalim? ,70,Istorie
34,Câți ucenici apropiați a avut Isus?,12,Biblie
35,Câte continente există pe Pământ?,7,Geografie
36,Câte state are SUA?,50,Geografie
37,Câte fusuri orare există pe glob?,24,Geografie
38,Câte capitale europene sunt traversate de Dunăre?,4,Geografie
39,Câte oceane are Terra?,5,Geografie
40,Câte Cupe Mondiale a câștigat Brazilia la fotbal?,5,Sport
41,Câte medalii de aur olimpice a câștigat Usain Bolt?,8,Sport
42,Câte minute durează o repriză de handbal (seniori)?,30,Sport
43,Câte echipe participă la o cursă de Formula 1 într-un sezon (în mod obișnuit)?,10,Sport
44,Câte seturi sunt necesare pentru a câștiga un meci de volei?,3,Sport
45,Câte filme „Harry Potter” există?,8,Film
46,Câte vieți are personajul din jocul din filmul „Jumanji”?,3,Film
47,Câte dinți adultul uman are de obicei?,32,Biologie
48,Câte inimi are un calmar gigant?,3,Biologie
49,Câte cromozomi are omul în mod normal?,46,Biologie
50,Câte strofe are poezia „Luceafărul”?,98,Literatura
51,Câte personaje principale are romanul „Ion” ?,2,Literatura
52,Câte încercări majore are Ulise în „Odiseea”?,12,Literatura
53,Câte zile durează călătoria lui Phileas Fogg în „Ocolul Pământului”?,80,Literatura
54,Câte capete are balaurul din basmele populare românești?,7,Literatura
55,Câte perechi de coaste are omul?,12,Biologie
56,Câte trupe de închinare sunt în Speranța?,3,Cultura Sperantei
57,Ce număr de stradă are Biserica?,49,Cultura Sperantei
58,Câți diaconi are Speranța?,1,Cultura Sperantei
59,Câte state vecine are România?,5,Geografie
60,Câte regiuni istorice principale are România (clasice)?,3,Geografie
61,Câte brațe are Delta Dunării?,3,Geografie
62,Câte fuse orare traversează Europa?,4,Geografie
63,La câți metri altitudine se află Vârful Mont Blanc?,4809,Geografie
64,"Câte zile a durat creația lumii, conform Bibliei?",6,Religie
65,Câte pietre a strâns David înainte de a-l înfrunta pe Goliat?,5,Religie
66,De câte ori s-a lepădat Petru de Isus înainte de cântatul cocoșului?,3,Religie
67,Câte zile a fost Iona în pântecele peștelui?,3,Religie
68,Câți ani a domnit regele David peste Israel?,40,Religie
69,Câte capitole are cartea Apocalipsa?,22,Religie
70,Câte cărți profetice mari sunt în Vechiul Testament?,5,Religie
71,Câte pietre de aducere aminte a ridicat Iosua după trecerea Iordanului?,12,Religie
72,Câte cărți are Biblia?,66,Religie
73,Câți ani a avut Avraam când s-a născut Isaac?,100,Religie
74,Câte capitole are cartea Proverbele?,31,Religie
75,Câte biserici sunt menționate în cartea Apocalipsa?,7,Religie
76,Câți fii a avut Iacov?,12,Religie
77,Câte zile a postit Moise pe Muntele Sinai la primirea Legii?,40,Religie
78,Câte state sunt traversate de fluviul Dunărea?,10,Geografie
79,Câte deșerturi majore sunt recunoscute în Africa?,3,Geografie
80,Câte planete sunt în Sistemul Solar?,8,Geografie
81,Câte zile are un an obișnuit?,365,Geografie
82,Câte secunde are o oră?,3600,Geografie
83,Câți atomi de oxigen are dioxidul de carbon,2,Chimie
84,Câte elemente chimice există în prezent în tabelul periodic?,118,Chimnie
85,Câte grade are un unghi complet?,360,Matematica
86,Câte muchii are un cub?,12,Matematica
87,Cât este 144 ÷ 12?,12,Matematica
88,Care este perimetrul unui pătrat cu latura de 7 cm?,28,Matematica
89,Câte clape albe are un pian standard?,52,Muzica
90,Câte corzi are o vioară?,4,Muzica
91,Câte chei există în mod uzual pe portativ (chei principale)?,3,Muzica
92,În ce an a fost lansat jocul Minecraft?,2011,Jocuri
93,Câte personaje jucabile sunt la lansare în jocul League of Legends?,40,Jocuri
94,Câte arme poate purta simultan un jucător în GTA (în mod uzual)?,10,Jocuri
95,Câte filme principale există în saga „Star Wars” (episoadele I–IX)?,9,Filme
96,Câte plăgi au fost trimise peste Egipt?,10,Religie
97,Câte puncte valorează un coș de la linia de 3 puncte în baschet?,3,Sport
98,Câte puncte se acordă pentru un touchdown în fotbal american?,6,Sport
99,În ce an a fost difuzat primul program de televiziune în lume?,1928,Istorie
100,Câte sezoane are serialul „Friends”?,10,Filme